trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,trip_total,payment_type,company
2022-03-02T16:30:00Z,2022-03-02T17:45:00Z,4449,10.9,8,29,42.0,Prcard,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T16:30:00Z,2022-03-02T16:45:00Z,1260,5.5,33,41,17.5,Unknown,3556 - 36214 RC Andrews Cab
2022-03-01T10:15:00Z,2022-03-01T10:30:00Z,1560,11.1,75,41,30.0,Unknown,3556 - 36214 RC Andrews Cab
2022-03-01T14:45:00Z,2022-03-01T15:00:00Z,1560,12.4,75,41,32.5,Unknown,3556 - 36214 RC Andrews Cab
2022-03-02T13:15:00Z,2022-03-02T13:30:00Z,840,6.6,8,3,19.25,Unknown,312 Medallion Management Corp
2022-03-01T11:45:00Z,2022-03-01T12:15:00Z,1601,11.89,8,46,41.69,Prcard,Patriot Taxi Dba Peace Taxi Associat
2022-03-01T16:00:00Z,2022-03-01T16:00:00Z,360,1.2,43,46,6.5,Unknown,3556 - 36214 RC Andrews Cab
2022-03-01T15:00:00Z,2022-03-01T15:30:00Z,1784,9.5,56,33,40.0,Credit Card,Chicago Taxicab
2022-03-02T18:00:00Z,2022-03-02T18:15:00Z,480,1.7,32,33,10.0,Credit Card,312 Medallion Management Corp
2022-03-01T18:30:00Z,2022-03-01T18:45:00Z,720,2.2,32,33,12.5,Credit Card,KOAM Taxi Association
2022-03-02T21:30:00Z,2022-03-02T21:30:00Z,367,1.65,32,33,7.5,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T19:00:00Z,2022-03-02T19:15:00Z,900,2.5,8,33,13.0,Credit Card,KOAM Taxi Association
2022-03-01T15:30:00Z,2022-03-01T15:30:00Z,515,1.49,32,33,10.75,Credit Card,Patriot Taxi Dba Peace Taxi Associat
2022-03-01T15:30:00Z,2022-03-01T15:45:00Z,559,1.53,32,33,8.5,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T17:00:00Z,2022-03-02T17:00:00Z,660,2.1,32,33,11.25,Credit Card,KOAM Taxi Association
2022-03-02T16:00:00Z,2022-03-02T16:15:00Z,540,1.1,8,8,7.0,Cash,Petani Cab Corp
2022-03-02T09:15:00Z,2022-03-02T09:15:00Z,222,0.66,8,8,5.25,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T14:00:00Z,2022-03-02T15:00:00Z,4155,3.36,8,8,34.0,Prcard,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T04:15:00Z,2022-03-02T04:15:00Z,107,0.5,8,8,4.5,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-01T13:30:00Z,2022-03-01T14:45:00Z,5029,19.88,8,8,63.75,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-01T11:00:00Z,2022-03-01T11:45:00Z,2208,4.69,8,8,22.5,Prcard,Patriot Taxi Dba Peace Taxi Associat
2022-03-02T19:15:00Z,2022-03-02T19:15:00Z,280,1.01,8,8,6.0,Cash,Patriot Taxi Dba Peace Taxi Associat
2022-03-01T15:15:00Z,2022-03-01T15:30:00Z,972,2.3,8,8,12.0,Prcard,Patriot Taxi Dba Peace Taxi Associat
